date;firstname;middlename;lastname;city;country
1986-12-21;Wendi;Maisy;Darrell;Ulan Bator;Pakistan
1992-10-31;Celisse;Rowan;Sasnett;Fortaleza;Guernsey
1986-10-22;Rubie;Emryn;Ilka;Magadan;Jersey
1989-03-24;Minne;Tallulah;Anastatius;Concepción;Italy
1990-07-26;Evita;Maisy;Pip;Omdurman;Poland
1995-10-11;Hope;Lyla;Wallis;Managua;El Salvador
1986-08-03;Celisse;Parker;Cornelia;Fredericton;Bangladesh
1997-12-26;Dorothy;Tallulah;Alwin;Concepción;Kyrgyzstan
1998-10-19;Esmeralda;Lakelynn;Pearse;Rotterdam;Slovakia
1992-09-08;Madeleine;Adhara;Gerge;Toulouse;Canada
1996-07-28;Jackie;Ophelia;Gaal;Cayenne;Macao
1985-01-29;Merry;Ophelia;Malina;Porto-Novo;Eritrea
1990-11-07;Deirdre;Lakelynn;Sigfrid;Cockburn Town;Spain
1989-12-16;Mariele;Maisy;Gregrory;Mersin;Heard Island and Mcdonald Islands
1990-12-26;Ulrike;Daphne;Virgin;Kota Kinabalu;Monaco
1996-05-08;Pierette;Rose;Roumell;Pune;Barbados
1990-11-20;Margette;Rowan;Donoghue;George Town;Kenya
1994-07-25;Alameda;Tallulah;Erminia;Luxor;Isle of Man
1985-01-14;Devina;Miller;Eben;Nakhon Ratchasima;Guyana
1991-05-23;Amara;Emryn;Billye;New York City;Solomon Islands
1988-04-02;Corene;River;Manolo;Kaesong;French Southern Territories
1998-10-22;Valli;Millie;Bonucci;Philadelphia;Suriname
1993-07-26;Trixi;Daphne;Alexandr;Perth;Tanzania, United Republic of
1997-04-26;Angelique;Rylee;Diogenes;Da Nang;Estonia
1991-12-20;Ayn;Aylani;Papageno;The Hague;Vanuatu
1999-10-24;Alyda;Remi;Baptlsta;Gdańsk;Georgia
1986-06-19;Sue;Ophelia;Eldrid;Funafuti;RWANDA
1992-12-01;Wanda;Lyla;McLaughlin;Pristina;Saint Pierre and Miquelon
1985-07-28;Sheree;Noelle;Nickola;Abuja;Marshall Islands
1995-08-11;Ann-Marie;Remi;Aldric;Los Angeles;Liberia
1997-04-02;Letizia;Alitzel;Maxi;Managua;Denmark
1998-05-17;Taffy;Aria;Longfellow;Brikama;Puerto Rico
1999-06-28;Phylis;Halo;Idelia;Cleveland;Egypt
1995-02-12;Sharai;Kaeli;Malanie;Cannes;Poland
1997-10-14;Janenna;Rylee;Elo;Córdoba;Nigeria
1994-03-08;Dode;Dania;Aaberg;Weno;"Cote D""Ivoire"
1989-05-18;Kary;Millie;Gualtiero;Rio de Janeiro;Philippines
1985-05-20;Doro;Imogen;Rugen;La Paz;American Samoa
1990-02-27;Collen;Kai;Persse;Louisville;Turks and Caicos Islands
1992-02-11;Imojean;Miller;Brenn;Nouakchott;Netherlands Antilles
1991-10-17;Bill;Millie;Lasley;Rotterdam;Cyprus
1995-09-17;Hallie;Lyla;Trinetta;Apia;Taiwan, Province of China
1996-04-10;Petronia;Aylani;Cutlerr;Blantyre;Hungary
1986-11-29;Ardys;Kya;Vilma;Iloilo City;Congo
1987-09-23;Leia;Amara;Zaslow;Aarhus;India
1998-05-03;Ardenia;Blessing;Buckler;Tampa;Northern Mariana Islands
1993-07-06;Henriette;Clara;Briney;Harare;Cambodia
1995-06-08;Kellen;Inaya;Wiener;London;Bolivia
1994-01-22;Jaclyn;Arely;Remmer;Dakar;Greece
1986-05-08;Drucie;Maisy;Orelee;Hamilton;Turkey
1988-02-09;Lory;Avani;Nikaniki;Lomé;Chad
1998-11-02;Wendi;Kai;Sandye;Philadelphia;Colombia
1988-02-28;Mallory;Ainara;Tound;Townsville;Chile
1994-06-16;Roslyn;Miley;Publia;Dili;India
1993-02-14;Clarice;Aleyna;Gaal;Chiang Mai;Thailand
1987-12-05;Aurore;Inaya;Amadas;Tartu;Dominican Republic
1995-05-26;Genevra;Aria;Terrence;Mérida;British Indian Ocean Territory
1991-02-13;Marcelline;Kai;Edmund;Xi'an;Cambodia
1991-05-18;Gale;Amara;Skurnik;Amritsar;Mexico
1989-10-31;Collen;Rowan;Francyne;Sofia;Sudan
1996-05-30;Katleen;Ainara;Newell;Murmansk;France
1989-11-06;Dominga;Inaya;Sidonius;Saipan;Bahamas
1996-06-06;Elvira;Ophelia;Jacinda;Naypyidaw;Cuba
1987-03-20;Edee;Tallulah;Gusella;Santa Cruz de Tenerife;Bahamas
1989-06-02;Lynea;Lakelynn;Magdalen;Sydney;United Kingdom
1996-03-16;Aaren;Imogen;Seagraves;Hamburg;Indonesia
1986-01-07;Cordi;Inaya;Carbo;Bursa;Germany
1999-09-19;Ariela;Rowan;Allina;Saint Petersburg;Micronesia, Federated States of
1997-02-12;Arabel;Kya;Ivens;El Aaiún;Cocos (Keeling) Islands
1985-03-06;Shell;Hayden;Peti;Kanpur;Nauru
1992-08-20;Frank;Inaya;Yorick;Shillong;Burundi
1989-01-30;Cindelyn;Zaya;Hartnett;Muscat;Mali
1987-06-07;Valeda;Tallulah;Howlyn;Charlotte;Ecuador
1996-08-30;Desirae;Rowan;Couture;Tripoli;French Guiana
1987-08-04;Candy;Kai;Peonir;Castries;United States Minor Outlying Islands
1998-11-08;Dorthy;Noelle;Demitria;Manama;Uruguay
1989-02-06;Caritta;Kya;Joni;Siem Reap;New Caledonia
1993-07-19;Aubrie;Ivey;Madelene;Hobart;Tajikistan
1988-11-20;Judy;Aria;Fitzsimmons;Palikir;Antarctica
1991-07-12;Valeda;Kya;Gaspard;Surabaya;Comoros
1995-06-07;Jerry;Miller;Sigfrid;Hargeisa;Equatorial Guinea
1992-01-11;Maryellen;Noelle;Macey;Novosibirsk;Isle of Man
1988-08-13;Gratia;Alitzel;Olin;Abu Dhabi;Greenland
1986-01-25;Sissy;Kai;Harriman;Iquitos;Jamaica
1995-07-07;Veda;Amara;Wolfgram;Hangzhou;Burundi
1992-04-09;Clarice;Andie;Raseda;San Fernando;France
1992-01-20;Angela;Zaya;Latini;Namangan;Sudan
1994-01-01;Frieda;Rose;Joachim;Mendoza;RWANDA
1996-03-02;Isa;Kya;Jerold;Bandung;Israel
1987-01-22;Libbie;Kaeli;Kussell;Cape Town;New Zealand
1995-12-15;Mellicent;Amara;Hartnett;La Paz;Solomon Islands
1995-02-25;Wilma;Rylee;Adlare;Chuí;Lithuania
1996-10-31;Maurene;Imogen;Naor;Basse-Terre;Chile
1991-11-16;Mathilda;Aylani;Wyn;Nashville;Saint Helena
1995-11-04;Zia;Ailany;Socha;Vladivostok;Bhutan
1986-06-28;Gilda;Clara;Bettine;Cork (city);Hungary
1986-07-17;Sibella;Ivey;Haldas;Salt Lake City;Pitcairn
1999-06-11;Gretal;Ainara;Cloris;Faisalabad;Mongolia
1992-12-18;Petronia;Adhara;Sawtelle;Canberra;Liechtenstein
1986-11-17;Amelia;Inaya;Graig;Balikpapan;Bosnia and Herzegovina
1987-10-16;Dominga;Amara;Vernier;Miri;Niue
1989-07-28;Tobe;Kaeli;Loleta;Colombo;Korea, Republic of
1999-05-08;Gloria;Elowyn;Yuille;Medellín;Vanuatu
1991-03-03;Regina;Maeve;Brittani;Podgorica;Equatorial Guinea
1989-12-27;Libbie;Dania;Natalia;Fukuoka;Seychelles
1996-04-30;Deirdre;Amara;Aaberg;Iquique;Dominica
1998-10-19;Cherilyn;Scottie;Knowling;The Hague;Pitcairn
1997-06-12;Margarette;Halo;Fleeta;Hamilton;Thailand
1995-03-23;Camile;Elowyn;Demitria;Denpasar;"Lao People""S Democratic Republic"
1996-06-12;Dagmar;Ophelia;Karna;Charlotte;Madagascar
1986-03-30;Joceline;Malia;Kendrick;Hamburg;Tonga
1988-10-21;Tiffie;Aylani;Juliet;Sana'a;"Lao People""S Democratic Republic"
1994-10-07;Cassandra;Millie;Ahab;Honiara;New Caledonia
1986-12-10;Annice;Ivey;Bashemeth;Malang;Martinique
1996-06-29;Elyssa;Gianna;Gombach;Bujumbura;Bouvet Island
1999-07-04;Dode;Aurelia;Simmonds;Iquique;Romania
1990-09-24;Myriam;Imogen;Janene;Tehran;Tanzania, United Republic of
1995-06-24;Jaclyn;Hayden;Ricarda;Marseille;Estonia
1998-11-03;Mahalia;Aria;Wenda;Tokyo;Central African Republic
1988-05-21;Laurene;Inaya;Stuart;Lanzhou;Northern Mariana Islands
1996-08-21;Malina;Aylani;Turne;Yamoussoukro;Grenada
1998-08-10;Britni;Arely;Karna;Málaga;Korea, Republic of
1991-08-15;Daryl;Kaeli;Dermott;Lomé;Albania
1989-11-01;Cristabel;Arely;Johanna;Milwaukee;Canada
1985-01-24;Roseline;Ivey;Craggie;Liverpool;"Korea, Democratic People""S Republic of"
1994-09-13;Suzette;Maeve;Yate;Reykjavík;New Caledonia
1993-07-05;Claudina;Aylani;Pelagias;Hat Yai;Albania
1995-11-01;Jere;Amara;Burkle;Namangan;United States
1987-02-14;Kenna;Aria;Ciro;Forked River;Suriname
1991-07-17;Regina;Halo;Anton;Dublin;Svalbard and Jan Mayen
1989-08-28;Flo;Ivey;Anyah;Brasília;Germany
1985-03-17;Wynne;Imogen;Bluh;Cincinnati;Sierra Leone
1987-09-27;Jean;Andie;August;Mersin;Liechtenstein
1991-10-21;Barbi;Miller;Rillings;Phuket (city);Saint Kitts and Nevis
1993-09-22;Dorene;Scottie;Shuler;El Paso;Northern Mariana Islands
1991-09-24;Kellen;Andie;Wiener;Bulawayo;Slovenia
1996-05-16;Asia;Imogen;Swanhildas;San Salvador;French Southern Territories
1986-02-15;Susette;Parker;Lymann;New Delhi;Estonia
1997-09-10;Rosaline;Amara;Stephie;Greenwich;Bulgaria
1995-04-18;Lenna;Alitzel;Lumbard;Bulawayo;Mexico
1987-04-14;Sonni;Inaya;Odell;Riga;Palau
1985-04-23;Catharine;Maisy;Levey;Saint John;Romania
1987-09-27;Madeleine;Aleyna;Shuler;Yakutsk;Mauritania
1997-05-08;Cordi;Ainara;Cressida;Vatican City;Gibraltar
1998-04-20;Genevra;Kya;Yuille;San Antonio;Peru
1993-11-24;Vonny;Clara;Dorothy;Forked River;Ethiopia
1985-01-15;Tani;Maeve;Weaks;Vilnius;Bahrain
1999-04-25;Robbi;Rylee;Moina;Majuro;Kazakhstan
1997-09-01;Ida;Arabella;Olympium;Birmingham;Saint Kitts and Nevis
1997-02-07;Shaylyn;Millie;Schalles;Lusaka;Syrian Arab Republic
1986-01-16;Mathilda;Alitzel;Leopold;Yekaterinburg;Anguilla
1994-08-03;Ernesta;Clara;Jacqui;Espoo;Ecuador
1986-08-19;Rani;Ailany;Arquit;Yaoundé;Micronesia, Federated States of
1994-05-14;Rhoda;Miley;Odysseus;Rotterdam;United Arab Emirates
1989-09-18;Lisette;Azari;Dorothy;Cartagena;AndorrA
1998-11-02;Valera;Scottie;Wareing;Osaka;Seychelles
1990-06-18;Natka;Parker;Grimbly;Fredericton;Niger
1986-03-05;Roberta;Azari;Aida;Singapore;Kenya
1988-05-15;Josephine;Adhara;Albertine;Phoenix;Netherlands
1992-06-01;Dorice;Amara;Schonfeld;Barranquilla;Senegal
1987-05-30;Luci;Maeve;Malvino;Dar es Salaam;Jamaica
1998-09-28;Berget;Reese;Cavan;Hong Kong;New Zealand
1987-01-06;Starla;Hayden;Jeanne;La Paz;Sri Lanka
1999-02-20;Noelle;Eliana;Si;San Carlos de Bariloche;Kazakhstan
1986-01-18;Fred;Hayden;Kenwood;Jersey City;Egypt
1986-07-17;Deirdre;Blessing;Rugen;Jerusalem;Montserrat
1993-12-20;Joane;Inaya;Schenck;Abu Dhabi;Austria
1998-02-26;Gilda;Clara;Constancy;Forked River;Viet Nam
1988-04-02;Ilse;Amara;Jena;Hobart;American Samoa
1990-03-28;Glenda;Noelle;Rad;Maracaibo;Hungary
1987-01-12;Lanna;Scottie;Nore;Naples;Bermuda
1988-08-31;Riannon;Blessing;Tiffa;Córdoba;Senegal
1987-10-11;Marguerite;Aria;Sisile;Saint Petersburg;Niue
1992-04-05;Hermione;Gianna;Norrie;Medan;Azerbaijan
1994-02-19;Daryl;Emryn;Rillings;Lusaka;Cameroon
1993-06-25;Lenna;Blessing;Quent;Simferopol;Viet Nam
1989-04-24;Tatiania;Noelle;Phi;Helsinki;Kuwait
1998-08-13;Ernesta;Azari;Yate;Split (city);Syrian Arab Republic
1997-01-14;Tami;Gianna;Tiffa;Phuket (city);British Indian Ocean Territory
1991-02-16;Robinia;Maeve;Weide;Taichung;"Lao People""S Democratic Republic"
1990-03-09;Jean;Blessing;Cosenza;Kaliningrad;Burkina Faso
1993-03-02;Carree;Ivey;Parsaye;Bogotá;Faroe Islands
1987-07-05;Ulrike;Eliana;Delp;Taichung;Namibia
1998-04-12;Melina;Aurelia;Bandeen;Mwanza;Svalbard and Jan Mayen
1999-07-05;Stephanie;Scottie;Burnside;Gdańsk;Macedonia, The Former Yugoslav Republic of
1993-09-09;Farrah;Rylee;Kelula;Ilhéus;Montserrat
1999-05-05;Deane;Noelle;Toffic;Saint-Pierre;Wallis and Futuna
1996-08-19;Winny;Kaeli;Tristram;Zagreb;Paraguay
1987-02-28;Arlina;Hayden;Adore;Karachi;South Africa
1990-03-19;Laure;Lakelynn;Paton;Kabul;France
1992-12-23;Lory;Azari;Maxi;Birmingham;Germany
1997-06-25;Tracey;Kya;Holbrook;Ottawa;Gibraltar
1988-11-14;Lenna;Inaya;Brandice;Castries;Uzbekistan
1996-07-16;Selia;Aylani;Ilka;Bishkek;"Lao People""S Democratic Republic"
1989-03-20;Elsie;Aylani;Ackerley;St. Louis;Russian Federation
1988-01-17;Natka;Ailany;Tiffa;Handan;Cook Islands
1990-09-08;Dacia;Gianna;Agle;Bandar Seri Begawan;Japan
1994-01-29;Aimil;Aleyna;Lane;Norilsk;Italy
1999-04-13;Courtnay;Parker;Zeeba;Anadyr (town);Uruguay
1985-07-15;Trixi;Ophelia;Killigrew;Iloilo City;Luxembourg
1998-08-30;Aili;Alitzel;Codding;Tiraspol;Ethiopia
1996-01-11;Theodora;Kai;Pond;Fortaleza;Netherlands Antilles
1992-11-03;Berget;Miller;Dyche;Paris;Falkland Islands (Malvinas)
1989-03-01;Sharlene;Gianna;Pascia;Regina;Haiti
1985-02-17;Angela;Arabella;Bluh;Espoo;Italy
1998-07-24;Merle;Miley;Hartnett;Toulouse;Guam
1991-10-30;Lynea;Ailany;Stover;Kuching;Greenland
1988-05-03;Janenna;Scottie;Peonir;St. Louis;Armenia
1997-04-29;Karina;Aylani;Thilda;Tiraspol;Saint Vincent and the Grenadines
1998-12-06;Carol-Jean;Amara;Donoghue;Wollongong;Gambia
1996-05-23;Aurore;Ainara;Lenny;Pune;Congo, The Democratic Republic of the
1991-07-08;Yetty;Eliana;Ehrman;South Tarawa;Greenland
1990-02-05;Jobi;Noelle;Lumbard;Bloemfontein;South Africa
1989-08-22;Diena;Maisy;Colleen;Papeete;New Caledonia
1988-07-21;Frieda;Inaya;Munn;Khartoum;Seychelles
1997-11-04;Dianemarie;Scottie;Lymann;Port Hedland;Solomon Islands
1996-07-13;Barbi;Lakelynn;Lesley;Chengdu;San Marino
1987-07-27;Maridel;Rose;Frendel;Innsbruck;Fiji
1989-09-11;Ernesta;Kai;Campball;Surat;Åland Islands
1997-04-04;Robinia;Lakelynn;Dichy;Karachi;Saudi Arabia
1991-03-23;Hollie;Kya;Pearse;Dongguan;Kazakhstan
1985-12-11;Ekaterina;Tallulah;Salchunas;Taichung;South Africa
1987-03-07;Frank;Azari;Cavan;Philadelphia;Norfolk Island
1985-06-02;Gaylene;Avani;Ezar;Shanghai;French Guiana
1987-08-20;Adele;Aurelia;Gilbertson;Norilsk;Swaziland
1989-06-24;Cecile;Avani;Carlson;Kaohsiung;Malaysia
1991-04-14;Veda;Alitzel;Aaberg;Hanover;Sweden
1992-03-04;Kary;Miley;Abernon;Nouakchott;Togo
1990-09-23;Christal;Aria;Kravits;Jerusalem;Switzerland
1994-08-22;Fawne;Amara;Georas;Punta Arenas;Antigua and Barbuda
1991-11-02;Pollyanna;Imogen;Killigrew;Baltimore;Morocco
1999-07-29;Janey;Lyla;Gale;Antananarivo;Venezuela
1998-01-25;Moyna;Ailany;Nerita;Gold Coast;Tunisia
1993-06-15;Joy;Ainara;Jacinda;Ljubljana;Guinea-Bissau
1988-12-02;Lisette;Imogen;Adlare;Sarajevo;Taiwan, Province of China
1990-01-02;Ira;Millie;Couture;Angra do Heroísmo;Uruguay
1995-05-23;Morganica;Clara;Iiette;Labasa;Kuwait
1995-04-11;Laurene;Clara;Guthrie;Charlotte Amalie;Liberia
1988-09-02;Stevana;Rose;Emanuel;Praia;Ethiopia
1987-06-23;Alie;Reese;Kendrick;Aarhus;Liberia
1991-11-07;Merle;Ailany;Laurianne;Multan;Lithuania
1989-05-31;Kimberley;Andie;Dermott;Brazzaville;Papua New Guinea
1986-09-26;Dominga;Remi;Lauraine;Mwanza;American Samoa
1989-03-26;Margette;Lyla;Harday;Canberra;Cameroon
1986-08-22;Danika;Rose;Roumell;Belize City;Honduras
1986-10-16;Corene;Inaya;Chaing;New Delhi;Cayman Islands
1989-12-10;Yetty;Azari;Delp;Tallinn;Anguilla
1997-06-18;Kristan;Ophelia;Schwejda;Shillong;Luxembourg
1987-11-25;Perry;Arabella;Jobi;Bergen;RWANDA
1992-10-25;Hallie;Lakelynn;Riva;Madrid;Singapore
1985-12-20;Anestassia;Zaya;Primalia;Detroit;Mauritius
1999-07-28;Lory;Adhara;Harned;Malang;Martinique
1996-03-06;Olwen;Eliana;Yate;Detroit;Tokelau
1988-10-08;Daphne;Adhara;Delacourt;Bangalore;Cocos (Keeling) Islands
1986-04-19;Tami;Andie;Raama;Zürich;Spain
1999-12-08;Roz;Remi;Teryn;Nouakchott;French Polynesia
1997-11-01;Stacey;Ailany;Amasa;Basra;Kenya
1998-10-28;Modestia;Aurelia;Xerxes;Porto;Congo, The Democratic Republic of the
1999-04-06;Monika;Lyla;Linehan;Kyoto;South Georgia and the South Sandwich Islands
1986-10-27;Alejandra;Lakelynn;Parette;Tartu;Cambodia
1995-05-14;Dode;Parker;Matthew;Iquitos;Maldives
1991-06-09;Jolyn;Malia;Thar;Tampere;Austria
1989-06-02;Edith;Gianna;Strephon;Shijiazhuang;New Caledonia
1994-07-14;Caritta;Kai;Ehrman;Valletta;Dominican Republic
1986-11-14;Roberta;Rylee;Wildermuth;Antananarivo;Kuwait
1992-01-09;Daune;Aria;Plato;Surat Thani;Hong Kong
1999-11-02;Taffy;Aria;Garek;Rotterdam;Peru
1997-11-08;Meg;Maeve;Norvol;Padang;Morocco
1995-11-14;Ayn;Azari;Ethban;Semarang;Japan
1994-01-20;Mireielle;Alitzel;Bethany;Vaduz;New Caledonia
1998-09-04;Benita;Ivey;Odell;Detroit;Georgia
1997-01-08;Dania;Azari;Hepsibah;Jayapura;Malta
1989-01-07;Vita;Maisy;Maiah;Lima;Botswana
1994-02-23;Mireielle;Daphne;Morgun;Hanover;Niger
1994-07-19;Agathe;Elowyn;Erich;Wellington;Eritrea
1999-03-30;Brianna;Rowan;Lubin;Tskhinvali;Saudi Arabia
1995-05-01;Lorie;Parker;Odell;Zürich;Puerto Rico
1986-08-29;Margalo;Adhara;Bethany;Mérida;Aruba
1990-02-14;Viviene;Elowyn;Isacco;Nashville;Sweden
1989-03-01;Babita;Aria;Nea;Sukhumi;Oman
1998-08-30;Kara-Lynn;Avani;Durante;Recife;Georgia
1999-11-27;Madalyn;Emryn;Uird;Brasília;"Korea, Democratic People""S Republic of"
1989-02-14;Joane;Ailany;Donoghue;Kansas City;Eritrea
1986-04-14;Diena;Rylee;Chesna;San Carlos de Bariloche;San Marino
1995-03-21;Verla;Arely;Fry;Novosibirsk;Bahrain
1988-01-10;Anica;Emryn;Joli;Avarua;Macedonia, The Former Yugoslav Republic of
1987-08-28;Cherilyn;Malia;Podvin;Ho Chi Minh City;Zimbabwe
1987-03-24;Hettie;Amara;Israeli;Baghdad;Ghana
1997-09-12;Sonni;Maeve;Raama;Nuuk;Wallis and Futuna
1998-07-24;Hyacinthe;Lakelynn;Dituri;Sapporo;United States
1986-06-08;Consuela;Elowyn;Cadmar;Jakarta;Kuwait
1993-10-23;Jacenta;Tallulah;Creamer;Zanzibar City;Hungary
1989-11-17;Kaia;Ivey;Denis;Malé;Nauru
1996-02-27;Brooks;Adhara;Orelee;Baltimore;Poland
1994-08-11;Hope;Emryn;Winthorpe;Avarua;Gabon
1988-07-31;Constance;Alitzel;Leopold;Shijiazhuang;Bosnia and Herzegovina
1995-05-27;Ana;Aylani;Myrilla;Tehran;"Lao People""S Democratic Republic"
1985-12-08;Goldie;Alitzel;Ruvolo;Chicago;Norway
1999-12-06;Kary;Blessing;Cookie;Linz;China
1985-06-06;Dorthy;Clara;Stephie;Christchurch;Nicaragua
1993-03-08;Annaliese;Amara;Revkah;Port Vila;India
1998-07-31;Mallory;Alitzel;Velick;Avarua;Liechtenstein
1985-07-24;Myrtice;Halo;Rodmann;Malabo;El Salvador
1995-02-27;Tierney;Ainara;Jacobah;Detroit;Malaysia
1986-01-11;Marnia;Miller;Delila;Wichita;Angola
1996-04-27;Shirlee;Rylee;Desai;Shanghai;Micronesia, Federated States of
1996-05-06;Alia;Blessing;Means;Cape Town;Marshall Islands
1997-10-17;Aili;Rowan;Boehike;Kathmandu;Belgium
1999-04-22;Marcy;Inaya;Gombach;Harare;Namibia
1986-03-19;Kalina;Noelle;Hartnett;Agartala;Tonga
1993-06-23;Mary;Noelle;Brodench;Quetzaltenango;Nauru
1993-06-10;Lorie;Kya;Clarissa;Tehran;American Samoa
1987-08-29;Cherilyn;Rose;Shelba;Libreville;Turkmenistan
1997-03-31;Orsola;Rylee;Autrey;Dongguan;Norfolk Island
1993-01-03;Mallory;Aleyna;Krystle;Warsaw;Burkina Faso
1992-03-04;Tilly;Ophelia;Barrus;Kraków;Turkmenistan
1985-06-08;Alisha;Amara;Berard;Birkirkara;Guyana
1993-01-24;Berget;Noelle;Nunci;Banjul;Iraq
1999-01-08;Iseabal;Arely;McAdams;Guatemala City;Panama
1996-02-05;Donetta;Ophelia;Wattenberg;Hyderabad;Sao Tome and Principe
1992-03-16;Dale;Ailany;Cath;Tashkent;Puerto Rico
1989-04-18;Shandie;Blessing;Buckler;Shillong;Hungary
1998-10-20;Di;Miley;Killigrew;Jaipur;French Guiana
1998-03-03;Rhoda;Miller;Shuler;Cusco;Venezuela
1998-04-30;Renie;Lakelynn;Shelba;Detroit;Seychelles
1991-04-05;Larine;Miley;Chick;Boston;South Georgia and the South Sandwich Islands
1988-10-12;Olivette;Lakelynn;Krystle;La Serena;Svalbard and Jan Mayen
1989-09-25;Cassandra;Gianna;Ricki;Algiers;Honduras
1988-09-05;Christian;Maeve;Hanleigh;Madrid;French Guiana
1997-10-10;Netty;Aurelia;Slifka;Sydney;Palestinian Territory, Occupied
1993-07-02;Augustine;Aleyna;Iaverne;Graz;Lithuania
1996-11-11;Iseabal;Arely;Thomasina;Chihuahua;Greenland
1998-02-17;Fanchon;Eliana;Faro;Buenos Aires;Kazakhstan
1991-03-01;Melanie;Emryn;Mike;Sana'a;Djibouti
1995-01-25;Krystle;Arabella;Cloris;St. Louis;Australia
1998-08-09;Althea;Kya;Isidore;Belize City;Poland
1990-07-27;Winifred;Tallulah;Stoller;Ciudad del Este;Mayotte
1993-08-18;Edith;Emryn;Seessel;Manzini;Dominica
1996-06-11;Frieda;Azari;Ajay;Toulouse;Slovakia
1996-06-21;Tobe;Alitzel;Mintz;Bandung;Congo, The Democratic Republic of the
1995-03-09;Marcelline;Gianna;Chandler;Chaguanas;Djibouti
1996-04-23;Maryellen;Inaya;Thad;Luxembourg (city);British Indian Ocean Territory
1986-02-05;Cyb;Kai;Wooster;Valencia;Northern Mariana Islands
1994-02-19;Modestia;Emryn;Brotherson;Marseille;Russian Federation
1985-04-23;Molli;Aleyna;Nahum;Cork (city);Saint Kitts and Nevis
1989-03-02;Dominga;Ophelia;Norrie;Xi'an;Central African Republic
1993-03-16;Brana;Kaeli;Bouchard;Bilbao;Somalia
1996-06-14;Elie;Remi;Bearnard;Wollongong;Libyan Arab Jamahiriya
1986-05-22;Teriann;Aria;Ophelia;Ludhiana;French Guiana
1996-08-25;Chloris;Kya;Chesna;Iqaluit;Luxembourg
1996-06-21;Kristan;Adhara;Codding;Saint-Denis;Bhutan
1990-05-19;Claudina;Azari;Edee;Belize City;Haiti
1990-04-12;Courtnay;Gianna;McAdams;Nukuʻalofa;Bolivia
1986-12-06;Margette;Aleyna;Hepsibah;Monterrey;Gambia
1991-07-10;Dede;Ailany;Ochs;Rio de Janeiro;Peru
1991-11-14;Abbie;Emryn;Tound;Geneva;South Africa
1996-12-31;Frank;Rowan;Henebry;Milan;Cayman Islands
1990-11-02;Damaris;Gianna;Melony;Cairo;Mauritania
1998-01-04;Jolyn;Ailany;Chabot;Surat Thani;Reunion
1989-02-24;Darlleen;Azari;Alwin;Cork (city);Wallis and Futuna
1985-04-17;Althea;Lyla;Zetta;Basra;Indonesia
1998-05-24;Gwyneth;Lakelynn;Salvidor;Phoenix;Holy See (Vatican City State)
1987-06-18;Lulita;Aleyna;Ursulette;Bandar Seri Begawan;Tonga
1994-07-30;Tarra;Aria;Skell;Dhaka;Dominican Republic
1988-04-25;Basia;Daphne;Tayib;Antofagasta;Comoros
1987-08-20;Stacey;Emryn;Selway;Yamoussoukro;Uzbekistan
1989-08-13;Neila;Halo;Darbie;Thimphu;Jamaica
1987-04-22;Silvana;Rylee;Burkle;Iquitos;Russian Federation
1991-02-04;Lily;Aylani;Monaco;Ankara;Nepal
1999-10-29;Felice;Dania;Noelyn;Dakar;Puerto Rico
1995-08-17;Kore;Parker;Nester;Nouakchott;Norway
1994-06-25;Jasmina;Elowyn;Cherianne;Medina;Denmark
1988-01-05;Roxane;Rose;Odysseus;Abuja;Micronesia, Federated States of
1993-12-02;Jacquetta;Ophelia;Azeria;Zagreb;Liechtenstein
1994-07-15;Averyl;Halo;Tatianas;Manaus;Denmark
1988-12-07;Olwen;Ophelia;Justinn;Gaziantep;Ecuador
1998-10-15;Shannah;Miley;Sophronia;New York City;Montserrat
1992-04-22;Vonny;Clara;Dosia;Da Nang;Fiji
1992-09-03;Eolanda;River;Desai;Fukuoka;Lithuania
1994-06-23;Sue;Remi;Sisile;Sukhumi;Antigua and Barbuda
1986-10-31;Elmira;Alitzel;Pettiford;Las Palmas de Gran Canaria;Vanuatu
1996-06-07;Christy;Millie;Daveta;Omdurman;Equatorial Guinea
1990-07-19;Maridel;Miller;Quent;Mersin;Mozambique
1986-10-04;Elmira;Gianna;Podvin;Barcelona;Suriname
1994-11-16;Konstance;Imogen;Maurine;Omdurman;Oman
1997-02-02;Cherrita;Ailany;Manolo;La Paz;Pakistan
1987-11-29;Elka;Clara;Pillsbury;Bahía Blanca;Congo
1995-05-15;Jasmina;Daphne;Terencio;Riyadh;Morocco
1996-09-22;Nanete;Halo;McClimans;Marrakech;Bangladesh
1989-01-14;Ann-Marie;Aurelia;Erlandson;Pago Pago;Aruba
1997-11-09;Claresta;Malia;Leopold;Dallas;Australia
1993-11-09;Verla;Kaeli;Brian;Funafuti;Tunisia
1992-12-19;Karena;Emryn;Wolfgram;Agartala;Turkey
1996-11-06;Nariko;Clara;Lory;Anadyr (town);Qatar
1991-08-21;Sabina;Zaya;Cynar;Washington;Libyan Arab Jamahiriya
1988-01-20;Fredericka;Parker;Estella;Koror;Mongolia
1992-02-17;Elena;Kaeli;Anestassia;Cincinnati;Nicaragua
1991-07-05;Gwenneth;Amara;Cherianne;Changchun;Liberia
1997-04-09;Annora;Halo;Emmy;Valparaíso;Comoros
1994-06-09;Judy;Avani;Berard;Birmingham;"Korea, Democratic People""S Republic of"
1996-04-06;Jaclyn;Amara;Herrera;Porto Alegre;Liberia
